,OrderFlowImba,qi,T
0,-0.00036324438563344866,0.0,5
1,-0.00033572587157030864,-5.074010175518898,5
2,-0.00032943592549873374,-5.074010175518898,5
3,-0.0003144973035787434,-5.074010175518898,5
4,-0.00030191741143559373,0.0,5
5,-0.0002956274653640188,-5.074010175518898,5
6,-0.0002854063029977097,0.0,5
7,-0.0002806888434440285,0.0,5
8,-0.00027833011366718794,0.0,5
9,-0.0002641777350061445,-2.537005087759449,5
10,-0.0002633914917471976,0.0,5
11,-0.00026103276197035705,0.0,5
12,-0.000239017950719845,0.0,5
13,-0.00023823170746089815,0.0,5
14,-0.00023587297768405758,0.0,5
15,-0.00023508673442511072,-5.074010175518898,5
16,-0.00023430049116616387,-5.074010175518898,5
17,-0.00023036927487142956,-5.074010175518898,5
18,-0.000228010545094589,-5.074010175518898,5
19,-0.00022722430183564214,-5.074010175518898,5
20,-0.00022565181531774843,-10.148020351037797,5
21,-0.0002201481125051204,-5.074010175518898,5
22,-0.00021778938272827984,0.0,5
23,-0.00021543065295143924,0.0,5
24,-0.0002146444096924924,0.0,5
25,-0.00020206451754934267,0.0,5
26,-0.00020049203103144895,-10.148020351037797,5
27,-0.0001997057877725021,0.0,5
28,-0.0001973470579956615,-5.074010175518898,5
29,-0.00019498832821882093,0.0,5
30,-0.00019420208495987408,0.0,5
31,-0.00018712589562935235,0.0,5
32,-0.00018476716585251178,0.0,5
33,-0.00018319467933461807,0.0,5
34,-0.00018083594955777747,-2.537005087759449,5
35,-0.00017926346303988376,0.0,5
36,-0.00017769097652199005,0.0,5
37,-0.0001769047332630432,0.0,5
38,-0.00017611849000409634,0.0,5
39,-0.00017533224674514948,0.0,5
40,-0.0001745460034862026,-1.6913367251729663,5
41,-0.00017375976022725574,-10.148020351037797,5
42,-0.00017218727370936203,0.0,5
43,-0.00016825605741462775,-2.537005087759449,5
44,-0.00016668357089673404,0.0,5
45,-0.0001651110843788403,0.0,5
46,-0.0001635385978609466,-2.537005087759449,5
47,-0.00016275235460199973,-5.074010175518898,5
48,-0.00016196611134305287,0.0,5
49,-0.00016117986808410602,-10.148020351037797,5
50,-0.0001596073815662123,0.0,5
51,-0.00015882113830726545,-2.537005087759449,5
52,-0.00015803489504831857,-2.537005087759449,5
53,-0.0001572486517893717,-2.537005087759449,5
54,-0.00015646240853042486,5.074010175518898,5
55,-0.000155676165271478,-1.6913367251729663,5
56,-0.00015331743549463743,0.0,5
57,-0.00015253119223569058,-5.074010175518898,5
58,-0.00015174494897674372,0.0,5
59,-0.00015017246245884998,-5.074010175518898,5
60,-0.00014859997594095627,-5.074010175518898,5
61,-0.00014702748942306256,0.0,5
62,-0.0001462412461641157,0.0,5
63,-0.00014545500290516884,0.0,5
64,-0.000144668759646222,-3.805507631639174,5
65,-0.00014388251638727513,0.0,5
66,-0.00014231002986938142,-5.919678538105382,5
67,-0.00014152378661043454,2.537005087759449,5
68,-0.00014073754335148768,0.0,5
69,-0.00013837881357464711,-6.765346900691865,5
70,-0.00013759257031570026,-5.074010175518898,5
71,-0.0001368063270567534,0.0,5
72,-0.00013444759727991283,-5.074010175518898,5
73,-0.00013366135402096595,-2.537005087759449,5
74,-0.00013208886750307224,-2.537005087759449,5
75,-0.00013130262424412538,-5.074010175518898,5
76,-0.00012973013772623167,0.0,5
77,-0.00012894389446728481,0.0,5
78,-0.00012815765120833796,-2.537005087759449,5
79,-0.00012658516469044425,-10.148020351037797,5
80,-0.0001250126781725505,0.0,5
81,-0.00012422643491360365,-2.537005087759449,5
82,-0.0001234401916546568,-5.074010175518898,5
83,-0.00012265394839570994,-15.222030526556695,5
84,-0.00012186770513676308,0.0,5
85,-0.00012108146187781623,2.537005087759449,5
86,-0.0001195089753599225,-2.537005087759449,5
87,-0.00011872273210097565,-5.074010175518898,5
88,-0.00011793648884202879,-8.879517807158072,5
89,-0.00011715024558308193,0.0,5
90,-0.00011636400232413508,2.537005087759449,5
91,-0.00011557775906518821,0.0,5
92,-0.00011479151580624135,0.0,5
93,-0.0001140052725472945,-6.765346900691865,5
94,-0.00011321902928834764,-1.6913367251729663,5
95,-0.00011243278602940079,0.0,5
96,-0.00011164654277045392,-5.074010175518898,5
97,-0.00011086029951150706,-1.6913367251729663,5
98,-0.0001100740562525602,0.0,5
99,-0.00010928781299361335,0.0,5
100,-0.00010850156973466649,-3.3826734503459326,5
101,-0.00010692908321677277,0.0,5
102,-0.00010614283995782591,-8.45668362586483,5
103,-0.00010535659669887905,-1.2685025438797246,5
104,-0.0001045703534399322,0.0,5
105,-0.00010378411018098534,0.0,5
106,-0.00010299786692203847,0.0,5
107,-0.00010221162366309162,-3.3826734503459326,5
108,-0.00010142538040414476,-7.611015263278348,5
109,-0.0001006391371451979,-0.6342512719398623,5
110,-9.985289388625105e-05,-1.2685025438797246,5
111,-9.906665062730418e-05,-2.0296040702075593,5
112,-9.828040736835732e-05,2.537005087759449,5
113,-9.749416410941047e-05,0.0,5
114,-9.592167759151676e-05,-5.074010175518898,5
115,-9.513543433256989e-05,-2.537005087759449,5
116,-9.434919107362303e-05,-5.074010175518898,5
117,-9.356294781467617e-05,0.0,5
118,-9.277670455572932e-05,-5.074010175518898,5
119,-9.199046129678246e-05,0.0,5
120,-9.120421803783559e-05,-5.074010175518898,5
121,-9.041797477888874e-05,0.0,5
122,-8.963173151994188e-05,-3.805507631639174,5
123,-8.884548826099502e-05,0.0,5
124,-8.805924500204817e-05,-7.103614245726458,5
125,-8.72730017431013e-05,0.0,5
126,-8.648675848415444e-05,0.0,5
127,-8.570051522520759e-05,0.0,5
128,-8.491427196626073e-05,-4.059208140415119,5
129,-8.412802870731387e-05,-2.0296040702075593,5
130,-8.334178544836702e-05,-4.122633267609105,5
131,-8.255554218942015e-05,0.0,5
132,-8.17692989304733e-05,0.0,5
133,-8.098305567152644e-05,-3.044406105311339,5
134,-8.019681241257958e-05,-1.2685025438797246,5
135,-7.941056915363273e-05,-3.044406105311339,5
136,-7.862432589468586e-05,-5.074010175518898,5
137,-7.7838082635739e-05,-2.537005087759449,5
138,-7.705183937679214e-05,-3.044406105311339,5
139,-7.626559611784529e-05,-2.0296040702075593,5
140,-7.547935285889843e-05,-0.5637789083909887,5
141,-7.469310959995156e-05,-2.537005087759449,5
142,-7.39068663410047e-05,0.0,5
143,-7.312062308205785e-05,-3.3826734503459326,5
144,-7.2334379823111e-05,-2.537005087759449,5
145,-7.154813656416414e-05,-2.0296040702075593,5
146,-7.076189330521727e-05,-2.537005087759449,5
147,-6.997565004627041e-05,-2.1745757895080993,5
148,-6.918940678732356e-05,-2.219879451789518,5
149,-6.84031635283767e-05,-1.0570854532331038,5
150,-6.761692026942984e-05,-1.6913367251729663,5
151,-6.683067701048298e-05,-3.946452358736921,5
152,-6.604443375153612e-05,-3.3826734503459326,5
153,-6.525819049258926e-05,0.0,5
154,-6.447194723364241e-05,-4.059208140415119,5
155,-6.368570397469555e-05,-1.2685025438797246,5
156,-6.289946071574868e-05,-2.74842217840607,5
157,-6.211321745680183e-05,-1.6913367251729663,5
158,-6.132697419785497e-05,-3.805507631639174,5
159,-6.0540730938908114e-05,0.0,5
160,-5.975448767996125e-05,-4.3491515790161985,5
161,-5.8968244421014395e-05,-5.581411193070789,5
162,-5.818200116206754e-05,-2.767641913919399,5
163,-5.7395757903120676e-05,0.8456683625864831,5
164,-5.660951464417382e-05,-2.2551156335639546,5
165,-5.582327138522696e-05,-3.1712563596993117,5
166,-5.50370281262801e-05,-1.4497171930053996,5
167,-5.4250784867333246e-05,-2.6578148538432327,5
168,-5.346454160838638e-05,-3.044406105311339,5
169,-5.267829834943953e-05,-4.151462870879098,5
170,-5.189205509049267e-05,-0.6342512719398623,5
171,-5.110581183154581e-05,-3.946452358736921,5
172,-5.031956857259895e-05,-1.0872878947540496,5
173,-4.953332531365209e-05,-3.1988325019575665,5
174,-4.8747082054705234e-05,-1.6144577831196494,5
175,-4.796083879575838e-05,-1.6415915273737611,5
176,-4.7174595536811515e-05,-4.2728506741211785,5
177,-4.638835227786466e-05,-3.3826734503459326,5
178,-4.5602109018917796e-05,-2.899434386010799,5
179,-4.481586575997094e-05,-3.100783996150438,5
180,-4.4029622501024084e-05,-2.3877694943618346,5
181,-4.324337924207722e-05,-2.9375848384583096,5
182,-4.2457135983130365e-05,-2.7907055965353944,5
183,-4.167089272418351e-05,-2.886936824002132,5
184,-4.088464946523665e-05,-3.57782768786589,5
185,-4.009840620628979e-05,-1.7908271207713762,5
186,-3.931216294734293e-05,-3.305794508292616,5
187,-3.852591968839607e-05,-1.8604703976902628,5
188,-3.7739676429449216e-05,-2.33130197253571,5
189,-3.695343317050235e-05,-2.537005087759449,5
190,-3.61671899115555e-05,-1.9933611403824243,5
191,-3.5380946652608634e-05,-1.7603708772208422,5
192,-3.459470339366178e-05,-2.1745757895080993,5
193,-3.380846013471492e-05,-2.537005087759449,5
